date,total_vaccinations,1st_vaccinations,2nd_vaccinations,1st_vaccinations_pfizer,2nd_vaccinations_pfizer,1st_vaccinations_moderna,2nd_vaccinations_moderna
2021-04-13,53986,13896,40090,13896,40090,0,0
2021-04-14,50996,9569,41427,9569,41427,0,0
2021-04-15,52620,16637,35983,16637,35983,0,0
2021-04-16,69687,29696,39991,29696,39991,0,0
2021-04-19,119032,64725,54307,64725,54307,0,0
2021-04-20,126419,98622,27797,98622,27797,0,0
2021-04-21,152884,126188,26696,126188,26696,0,0
2021-04-22,150489,128634,21855,128634,21855,0,0
2021-04-23,177672,147989,29683,147989,29683,0,0
2021-04-26,263328,221677,41651,221677,41651,0,0
2021-04-27,203174,172069,31105,172069,31105,0,0
2021-04-28,238273,194005,44268,194005,44268,0,0
2021-04-30,274907,227667,47240,227667,47240,0,0
2021-05-06,331914,268978,62936,268978,62936,0,0
2021-05-07,140344,97165,43179,97165,43179,0,0
2021-05-10,223504,155255,68249,155255,68249,0,0
2021-05-11,168738,90287,78451,90287,78451,0,0
2021-05-12,181720,82959,98761,82959,98761,0,0
2021-05-13,219139,93429,125710,93429,125710,0,0
2021-05-14,242878,99493,143385,99493,143385,0,0
2021-05-17,349566,133843,215723,133843,215723,0,0
2021-05-18,250244,94577,155667,94577,155667,0,0
2021-05-19,267866,88163,179703,88163,179703,0,0
2021-05-20,190533,81422,109111,81422,109111,0,0
2021-05-21,249021,99918,149103,99918,149103,0,0
2021-05-24,330589,136760,193829,136491,193829,269,0
2021-05-25,139652,87590,52062,87114,52062,476,0
2021-05-26,142589,93415,49174,93243,49174,172,0
2021-05-27,145149,84257,60892,84217,60892,40,0
2021-05-28,164516,87741,76775,87584,76775,157,0
2021-05-31,273255,132005,141250,131423,141250,582,0
2021-06-01,159057,66387,92670,66264,92670,123,0
2021-06-02,159126,71456,87670,71140,87670,316,0
2021-06-03,143157,59766,83391,59654,83391,112,0
2021-06-04,159203,63563,95640,62634,95640,929,0
2021-06-07,239337,106581,132756,104435,132756,2146,0
2021-06-08,161922,72679,89243,71689,89243,990,0