code,prefecture,total_vaccinations,1st_vaccinations,2nd_vaccinations
01,北海道,146108,95871,50237
02,青森県,38446,26937,11509
03,岩手県,40626,30022,10604
04,宮城県,67146,48260,18886
05,秋田県,34690,23819,10871
06,山形県,37972,26320,11652
07,福島県,55617,38649,16968
08,茨城県,81667,57446,24221
09,栃木県,57615,40441,17174
10,群馬県,60811,43152,17659
11,埼玉県,170056,122806,47250
12,千葉県,145235,102528,42707
13,東京都,354005,251192,102813
14,神奈川県,175653,135263,40390
15,新潟県,68353,50097,18256
16,富山県,38623,28104,10519
17,石川県,39828,29327,10501
18,福井県,33003,25871,7132
19,山梨県,22289,14809,7480
20,長野県,58608,42792,15816
21,岐阜県,60141,42162,17979
22,静岡県,96084,70574,25510
23,愛知県,201384,155262,46122
24,三重県,54231,39872,14359
25,滋賀県,37541,27262,10279
26,京都府,73992,54241,19751
27,大阪府,210867,138627,72240
28,兵庫県,121569,85999,35570
29,奈良県,41758,31447,10311
30,和歌山県,37003,26207,10796
31,鳥取県,24532,17517,7015
32,島根県,24806,17773,7033
33,岡山県,62681,46026,16655
34,広島県,94828,69739,25089
35,山口県,61256,42490,18766
36,徳島県,35390,26533,8857
37,香川県,34222,23436,10786
38,愛媛県,54275,40769,13506
39,高知県,34602,22888,11714
40,福岡県,145918,96417,49501
41,佐賀県,42354,30237,12117
42,長崎県,58996,40013,18983
43,熊本県,78449,53481,24968
44,大分県,48373,35436,12937
45,宮崎県,43760,29929,13831
46,鹿児島県,66586,48427,18159