code,prefecture,total_vaccinations,1st_vaccinations,2nd_vaccinations
01,北海道,209822,140506,69316
02,青森県,51928,34493,17435
03,岩手県,62669,42443,20226
04,宮城県,93823,64322,29501
05,秋田県,45381,27721,17660
06,山形県,51586,34560,17026
07,福島県,79585,56155,23430
08,茨城県,114919,77803,37116
09,栃木県,78403,51716,26687
10,群馬県,81215,54321,26894
11,埼玉県,255912,173714,82198
12,千葉県,202614,136902,65712
13,東京都,498522,338771,159751
14,神奈川県,279985,206880,73105
15,新潟県,94999,62075,32924
16,富山県,52079,33970,18109
17,石川県,57008,36959,20049
18,福井県,47698,33311,14387
19,山梨県,29310,20519,8791
20,長野県,86514,57947,28567
21,岐阜県,85321,55088,30233
22,静岡県,132562,93567,38995
23,愛知県,297030,205364,91666
24,三重県,81601,53575,28026
25,滋賀県,56686,38688,17998
26,京都府,103673,69143,34530
27,大阪府,303189,201181,102008
28,兵庫県,184990,122394,62596
29,奈良県,61471,43549,17922
30,和歌山県,49393,31665,17728
31,鳥取県,30767,19833,10934
32,島根県,35045,24374,10671
33,岡山県,90758,64248,26510
34,広島県,129875,87198,42677
35,山口県,77621,52128,25493
36,徳島県,49262,33161,16101
37,香川県,45931,29299,16632
38,愛媛県,74698,49689,25009
39,高知県,45924,28322,17602
40,福岡県,202228,138038,64190
41,佐賀県,57046,36610,20436
42,長崎県,77636,50884,26752
43,熊本県,103815,71014,32801
44,大分県,66567,43704,22863
45,宮崎県,56057,35780,20277
46,鹿児島県,91335,61409,29926