code,prefecture,total_vaccinations,1st_vaccinations,2nd_vaccinations
01,北海道,364565,230646,133919
02,青森県,86880,52994,33886
03,岩手県,94839,52630,42209
04,宮城県,154836,91100,63736
05,秋田県,69039,40879,28160
06,山形県,84845,48395,36450
07,福島県,135974,77667,58307
08,茨城県,188070,112541,75529
09,栃木県,120110,67783,52327
10,群馬県,133371,80590,52781
11,埼玉県,407058,234491,172567
12,千葉県,334840,202019,132821
13,東京都,814955,469872,345083
14,神奈川県,492038,288694,203344
15,新潟県,141160,81818,59342
16,富山県,79326,45526,33800
17,石川県,88235,51549,36686
18,福井県,73990,40693,33297
19,山梨県,54095,32796,21299
20,長野県,133744,77494,56250
21,岐阜県,142824,86332,56492
22,静岡県,202344,120178,82166
23,愛知県,458287,263732,194555
24,三重県,123009,70084,52925
25,滋賀県,86619,51309,35310
26,京都府,171473,101351,70122
27,大阪府,490365,294234,196131
28,兵庫県,298855,179969,118886
29,奈良県,102700,57854,44846
30,和歌山県,74013,42635,31378
31,鳥取県,46482,26504,19978
32,島根県,57061,34789,22272
33,岡山県,155102,92469,62633
34,広島県,204067,119343,84724
35,山口県,125064,70745,54319
36,徳島県,74486,42656,31830
37,香川県,71546,41435,30111
38,愛媛県,115868,65718,50150
39,高知県,63709,35218,28491
40,福岡県,365196,225874,139322
41,佐賀県,83645,47762,35883
42,長崎県,117726,67408,50318
43,熊本県,151671,88275,63396
44,大分県,103266,56683,46583
45,宮崎県,82856,48976,33880
46,鹿児島県,140273,82563,57710