code,prefecture,total_vaccinations,1st_vaccinations,2nd_vaccinations
01,北海道,420618,250086,170532
02,青森県,93434,54745,38689
03,岩手県,102026,55915,46111
04,宮城県,176812,102204,74608
05,秋田県,76218,43880,32338
06,山形県,90972,50547,40425
07,福島県,151195,84704,66491
08,茨城県,210015,120823,89192
09,栃木県,130076,73225,56851
10,群馬県,147384,86669,60715
11,埼玉県,442203,248222,193981
12,千葉県,378605,220375,158230
13,東京都,888744,502186,386558
14,神奈川県,541120,312476,228644
15,新潟県,156332,91384,64948
16,富山県,84013,47392,36621
17,石川県,97402,55800,41602
18,福井県,78922,42535,36387
19,山梨県,60557,34598,25959
20,長野県,146858,82515,64343
21,岐阜県,159625,91059,68566
22,静岡県,228864,131075,97789
23,愛知県,493430,278391,215039
24,三重県,133148,73826,59322
25,滋賀県,93727,53175,40552
26,京都府,191219,111112,80107
27,大阪府,546454,321849,224605
28,兵庫県,367795,214176,153619
29,奈良県,112198,61075,51123
30,和歌山県,79193,44860,34333
31,鳥取県,49279,28076,21203
32,島根県,60907,35857,25050
33,岡山県,173486,101209,72277
34,広島県,219604,125863,93741
35,山口県,134703,75115,59588
36,徳島県,82668,45726,36942
37,香川県,77645,43903,33742
38,愛媛県,125139,70247,54892
39,高知県,66545,36208,30337
40,福岡県,402571,236175,166396
41,佐賀県,90799,51276,39523
42,長崎県,124452,68681,55771
43,熊本県,162118,91307,70811
44,大分県,112125,59779,52346
45,宮崎県,89806,51355,38451
46,鹿児島県,155977,88985,66992