code,prefecture,total_vaccinations,1st_vaccinations,2nd_vaccinations
01,北海道,479104,271936,207168
02,青森県,102613,57799,44814
03,岩手県,109732,60241,49491
04,宮城県,199272,118341,80931
05,秋田県,81820,45599,36221
06,山形県,95581,52480,43101
07,福島県,159561,88224,71337
08,茨城県,225272,126602,98670
09,栃木県,135828,75749,60079
10,群馬県,158623,90271,68352
11,埼玉県,475962,264078,211884
12,千葉県,410093,234137,175956
13,東京都,947398,529040,418358
14,神奈川県,583647,331804,251843
15,新潟県,168648,96436,72212
16,富山県,90365,49858,40507
17,石川県,102951,57788,45163
18,福井県,82598,43859,38739
19,山梨県,64072,35504,28568
20,長野県,157488,86426,71062
21,岐阜県,172209,94128,78081
22,静岡県,244002,137860,106142
23,愛知県,529985,295653,234332
24,三重県,145255,78609,66646
25,滋賀県,99031,54310,44721
26,京都府,206239,117051,89188
27,大阪府,591725,342279,249446
28,兵庫県,392473,223402,169071
29,奈良県,117977,63850,54127
30,和歌山県,84869,46504,38365
31,鳥取県,51084,29236,21848
32,島根県,66156,36921,29235
33,岡山県,188111,105731,82380
34,広島県,240480,134869,105611
35,山口県,144054,79042,65012
36,徳島県,86668,47228,39440
37,香川県,84707,46638,38069
38,愛媛県,135362,73823,61539
39,高知県,70205,37803,32402
40,福岡県,435000,242630,192370
41,佐賀県,94896,52670,42226
42,長崎県,133475,71646,61829
43,熊本県,179079,95762,83317
44,大分県,117635,62039,55596
45,宮崎県,97645,53704,43941
46,鹿児島県,166643,93344,73299