code,prefecture,total_vaccinations,1st_vaccinations,2nd_vaccinations
01,北海道,548235,300156,248079
02,青森県,114688,62375,52313
03,岩手県,122207,65515,56692
04,宮城県,229136,135464,93672
05,秋田県,92381,51758,40623
06,山形県,103399,55104,48295
07,福島県,179159,96477,82682
08,茨城県,246115,135551,110564
09,栃木県,147363,79482,67881
10,群馬県,176915,97079,79836
11,埼玉県,523466,286035,237431
12,千葉県,460088,253947,206141
13,東京都,1048177,570744,477433
14,神奈川県,659583,360112,299471
15,新潟県,194444,109995,84449
16,富山県,100237,53562,46675
17,石川県,115750,62367,53383
18,福井県,88835,47295,41540
19,山梨県,74816,41395,33421
20,長野県,171830,92902,78928
21,岐阜県,187480,98037,89443
22,静岡県,277807,152513,125294
23,愛知県,577950,317543,260407
24,三重県,156789,83102,73687
25,滋賀県,109335,57988,51347
26,京都府,236302,130666,105636
27,大阪府,680919,374362,306557
28,兵庫県,453757,246288,207469
29,奈良県,128892,68789,60103
30,和歌山県,93207,50461,42746
31,鳥取県,59623,31569,28054
32,島根県,70906,38480,32426
33,岡山県,215183,119242,95941
34,広島県,268672,148042,120630
35,山口県,157935,85906,72029
36,徳島県,93924,49592,44332
37,香川県,93344,50594,42750
38,愛媛県,146816,78956,67860
39,高知県,78854,42205,36649
40,福岡県,469667,255725,213942
41,佐賀県,108083,57466,50617
42,長崎県,141797,75654,66143
43,熊本県,225914,117825,108089
44,大分県,124882,66202,58680
45,宮崎県,106715,57559,49156
46,鹿児島県,185358,101497,83861