code,prefecture,total_vaccinations,1st_vaccinations,2nd_vaccinations
01,北海道,7861,7819,42
02,青森県,6025,5813,212
03,岩手県,6690,6384,306
04,宮城県,4726,4714,12
05,秋田県,7585,7487,98
06,山形県,12334,11957,377
07,福島県,10227,10136,91
08,茨城県,6177,6134,43
09,栃木県,5688,5687,1
10,群馬県,5212,5170,42
11,埼玉県,7366,7260,106
12,千葉県,5678,5642,36
13,東京都,20869,20650,219
14,神奈川県,10041,9121,920
15,新潟県,8213,7899,314
16,富山県,1471,1424,47
17,石川県,10414,9378,1036
18,福井県,5434,5240,194
19,山梨県,4994,4662,332
20,長野県,6563,6406,157
21,岐阜県,6923,6717,206
22,静岡県,5209,5170,39
23,愛知県,12536,11570,966
24,三重県,3745,3744,1
25,滋賀県,8991,8991,0
26,京都府,2190,2121,69
27,大阪府,15439,15270,169
28,兵庫県,9199,9100,99
29,奈良県,5401,5290,111
30,和歌山県,12174,11757,417
31,鳥取県,6618,6599,19
32,島根県,4006,3969,37
33,岡山県,2493,2367,126
34,広島県,9856,9158,698
35,山口県,7646,7138,508
36,徳島県,4981,4980,1
37,香川県,9031,8634,397
38,愛媛県,3050,3032,18
39,高知県,6587,6470,117
40,福岡県,7529,7520,9
41,佐賀県,5369,5368,1
42,長崎県,6705,6705,0
43,熊本県,7888,7887,1
44,大分県,4965,4965,0
45,宮崎県,6643,6344,299
46,鹿児島県,8580,8159,421