code,prefecture,total_vaccinations,1st_vaccinations,2nd_vaccinations
01,北海道,159772,153300,6472
02,青森県,71899,65360,6539
03,岩手県,57270,51143,6127
04,宮城県,85942,80549,5393
05,秋田県,64102,56878,7224
06,山形県,76427,64859,11568
07,福島県,117741,107461,10280
08,茨城県,91335,86824,4511
09,栃木県,53183,49004,4179
10,群馬県,88733,83063,5670
11,埼玉県,217007,210527,6480
12,千葉県,195657,188929,6728
13,東京都,491790,474487,17303
14,神奈川県,232487,223193,9294
15,新潟県,106489,99019,7470
16,富山県,43191,41305,1886
17,石川県,75243,66261,8982
18,福井県,46319,41095,5224
19,山梨県,36042,31752,4290
20,長野県,96167,88108,8059
21,岐阜県,101777,95506,6271
22,静岡県,114538,110260,4278
23,愛知県,288226,276537,11689
24,三重県,44789,41414,3375
25,滋賀県,63064,57638,5426
26,京都府,117876,114859,3017
27,大阪府,292376,275758,16618
28,兵庫県,160582,150640,9942
29,奈良県,50154,46056,4098
30,和歌山県,95086,82842,12244
31,鳥取県,46337,39814,6523
32,島根県,35118,30834,4284
33,岡山県,114956,111048,3908
34,広島県,98113,88337,9776
35,山口県,121114,114017,7097
36,徳島県,40125,35639,4486
37,香川県,52372,43496,8876
38,愛媛県,46755,43033,3722
39,高知県,60156,55144,5012
40,福岡県,182831,177298,5533
41,佐賀県,59346,55072,4274
42,長崎県,50277,43273,7004
43,熊本県,72923,66508,6415
44,大分県,57297,51392,5905
45,宮崎県,79999,73604,6395
46,鹿児島県,80654,73791,6863