code,prefecture,total_vaccinations,1st_vaccinations,2nd_vaccinations
01,北海道,760067,587673,172394
02,青森県,255035,179645,75390
03,岩手県,227233,169276,57957
04,宮城県,352966,296996,55970
05,秋田県,195971,134495,61476
06,山形県,288982,218575,70407
07,福島県,453257,330446,122811
08,茨城県,446953,347141,99812
09,栃木県,268674,210116,58558
10,群馬県,381883,298920,82963
11,埼玉県,1169476,937708,231768
12,千葉県,1074166,837616,236550
13,東京都,2101619,1622419,479200
14,神奈川県,1375052,1104314,270738
15,新潟県,514229,390445,123784
16,富山県,227861,174354,53507
17,石川県,277425,203050,74375
18,福井県,180542,131395,49147
19,山梨県,153311,112174,41137
20,長野県,437197,322571,114626
21,岐阜県,495674,379756,115918
22,静岡県,573609,438607,135002
23,愛知県,1426174,1133748,292426
24,三重県,378954,292196,86758
25,滋賀県,242058,183442,58616
26,京都府,502577,367067,135510
27,大阪府,1330496,1059738,270758
28,兵庫県,884908,705440,179468
29,奈良県,261891,205329,56562
30,和歌山県,286669,191529,95140
31,鳥取県,150166,104376,45790
32,島根県,160044,122256,37788
33,岡山県,460574,337849,122725
34,広島県,462136,364641,97495
35,山口県,403463,273258,130205
36,徳島県,175538,130348,45190
37,香川県,196797,143141,53656
38,愛媛県,274843,215854,58989
39,高知県,202440,143220,59220
40,福岡県,929316,711875,217441
41,佐賀県,229287,167763,61524
42,長崎県,283350,223607,59743
43,熊本県,392579,299887,92692
44,大分県,253280,189726,63554
45,宮崎県,275750,196821,78929
46,鹿児島県,331003,249911,81092